Nazwa,Efekt,Opis
Nagroda Nobla,"Otrzymujesz natychmiast 8 PZ i +2 punkty Reputacji. W następnej rundzie wszyscy gracze oferują Ci współpracę przy grantach.","Komitet Noblowski docenia Twoje przełomowe odkrycia, otwierając przed Tobą drzwi do najbardziej prestiżowych projektów."
Darczyńca Filantrop,"Otrzymujesz 15K natychmiast i dostęp do ekskluzywnego grantu 'Fundacja' w następnej rundzie (25K za dowolny cel).","Miliarder-wizjoner decyduje się sfinansować Twoje badania, widząc w nich potencjał zmiany świata."
Przełom Medialny,"Twoje odkrycie trafia na pierwsze strony gazet. Otrzymujesz 5 PZ i możesz natychmiast zagrać dodatkową kartę akcji.","Media światowe okrzyknęły Twoje badania 'odkryciem stulecia', zapewniając międzynarodowy rozgłos."
Kontrakt Rządowy,"Otrzymujesz stały dochód +3K na rundę do końca gry oraz dostęp do tajnych projektów rządowych.","Agencje wywiadowcze doceniają potencjał Twojych badań dla bezpieczeństwa narodowego."
Międzynarodowa Wymiana,"Możesz natychmiast wymienić się kartami badań z dowolnym graczem. Obaj dobieracie po 2 karty 'Możliwości'.","Program wymiany naukowej otwiera nowe perspektywy współpracy i dostępu do unikalnych badań."
Spadek po Genialnym Wuju,"Dziedziczysz prywatne laboratorium wartości 12K oraz bibliotekę dającą +1 PB przy każdej publikacji do końca gry.","Ekscentryczny wuj-wynalazca zostawia Ci w testamencie kompletnie wyposażone laboratorium badawcze."
Gwiazda Konferencji,"Twoja prezentacja na prestiżowej konferencji wzbudza zachwyt. Zyskujesz 3 PZ i możesz natychmiast zatrudnić naukowca za darmo.","Wystąpienie na TED Talk przyciąga uwagę najlepszych umysłów gotowych dołączyć do Twojego zespołu."
Spin-off Startup,"Komercjalizujesz swoje badania zakładając firmę. Otrzymujesz 10K i +2K za każde przyszłe ukończone badanie.","Twoja firma startupowa przyciąga inwestorów venture capital, monetyzując innowacje naukowe."
Współpraca Korporacyjna,"Gigant technologiczny proponuje partnership. Otrzymujesz 8K i dostęp do zaawansowanego sprzętu (+1 heks przy wszystkich badaniach).","Kooperacja z Apple/Google/Tesla zapewnia dostęp do najnowocześniejszych technologii i praktycznie nieograniczonych środków."
Viral na YouTube,"Twój eksperyment staje się viralem internetowym. Otrzymujesz 6K z reklam i możesz dobierać +1 kartę co rundę do końca gry.","Spektakularny eksperyment z wybuchającą colą i mentos przyciąga miliony wyświetleń i nowe możliwości finansowania."